Graph Name,Coarsen Edges,Partition Time,Coarsen Time,Init Time,Uncoarsen Time,Edgecut,Coarsen nvtxs
wb-edu,,168.27,86.65,1.77,79.85,396988,
uk-2002,,407.22,263.87,1.49,141.85,1880781,
dblp-2010,,36.89,10.65,1.13,25.11,65961,
amazon-2008,,43.89,12.51,1.79,29.59,195082,
soc-Pokec,,188.07,68.13,1.3,118.64,4135214,
com-LiveJournal,,249.18,98.21,1.63,149.35,5514211,
soc-LiveJournal1,,312.23,117.94,1.57,192.72,6329073,
com-Orkut,,679.16,205.41,1.38,472.36,22957371,
hollywood-2009,,218.21,74.75,1.8,141.66,6847690,
ljournal-2008,,298.87,126.75,1.82,170.29,6357784,
circuit5M,,1012.92,420.98,1.45,590.5,5292487,
vas_stokes_2M,,75.67,30.09,1.7,43.89,917248,
vas_stokes_4M,,93.99,53.91,1.81,38.27,1083203,
stokes,,198.18,126.89,1.83,69.45,1915232,
road_usa,,159.74,57.7,1.75,100.28,6033,
europe_osm,,397.85,131.68,1.93,264.25,2360214,
nlpkkt120,,77.94,36.86,1.74,39.35,1398442,
nlpkkt160,,138.32,74.99,2.04,61.29,3391762,
nlpkkt200,,245.2,136.0,2.18,107.02,5224290,
af_shell1,,28.56,8.84,1.31,18.42,49709,
Hook_1498,,44.59,18.11,1.9,24.58,407415,
Geo_1438,,40.83,16.82,1.65,22.36,500069,
Serena,,39.26,17.01,1.71,20.54,668142,
audikw_1,,38.89,18.04,1.37,19.47,905485,
channel-500x100x100-b050,,64.66,26.48,1.7,36.47,423720,
Long_Coup_dt0,,44.55,19.07,1.45,24.02,1135592,
Long_Coup_dt6,,42.25,18.94,1.72,21.59,1142568,
dielFilterV3clx,,31.49,11.07,1.38,19.04,244212,
dielFilterV3real,,45.18,20.24,1.19,23.75,610067,
ML_Geer,,43.65,21.79,1.31,20.55,336643,
Flan_1565,,46.49,24.27,1.26,20.96,534590,
Bump_2911,,56.17,26.75,1.86,27.56,1282990,
Cube_Coup_dt0,,49.54,23.61,1.43,24.5,1253830,
Cube_Coup_dt6,,49.81,24.11,1.47,24.24,1233966,
HV15R,,89.49,53.73,1.53,34.22,4192740,
Queen_4147,,86.58,53.13,1.41,32.04,3215169,
cage15,,111.23,41.02,1.79,68.41,1962070,
kmer_A2a,,1267.19,479.17,1.77,786.24,3482578,
kmer_P1a,,1016.86,407.33,1.99,607.53,2943026,
kmer_U1a,,408.15,156.98,1.79,249.39,588116,
kmer_V1r,,1710.49,595.53,1.58,1113.38,8647645,
kmer_V2a,,418.7,146.54,1.98,270.17,346597,
delaunay_n23,,79.45,28.34,2.31,48.8,26563,
hugebubbles-00000,,106.62,27.89,1.78,76.94,10786,
hugebubbles-00010,,139.18,39.51,1.97,97.7,14662,
hugebubbles-00020,,142.04,42.72,2.14,97.17,13506,
rgg_n_2_22_s0,,71.72,27.05,1.68,42.99,32220,
delaunay_n24,,125.23,51.36,2.11,71.76,40820,
rgg_n_2_23_s0,,116.45,48.59,1.69,66.17,46244,
rgg_n_2_24_s0,,190.77,92.97,1.87,95.93,77612,
kron_g500-logn20,,566.07,278.32,1.21,286.54,8375679,
kron_g500-logn21,,1160.4,522.34,1.18,636.89,16300623,
mycielskian17,,340.16,90.45,1.65,248.05,38126360,
mycielskian18,,680.11,229.65,1.79,448.66,112897957,
